Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Hunter Gaddis","CLE",3,3,0,3.88467,66,0,3,14,,66,280,60,31,28,9,22,,3,62,8.41605,2.95999,2.84327,1.18467,0.22042,0.0775236,0.14289680868387222,0.235061,1.2385,0.27756,0.727617,,,4.0943,0.326839,0.384834,559.3499755859375,,,,,,,341.7000000000001,5.177272727272729,333,5.045454545454546,,,,,,,,,,,,,,,,,,,"Hunter Gaddis","25636",683769
"Ryan Zeferjahn","LAA",3,3,0,3.59885,63,0,1,13,,63,274,49,28,25,8,33,,3,76,10.8166,4.67903,2.31171,1.12911,0.276285,0.119515,0.1567700430750847,0.206236,1.29928,0.266713,0.767625,,,4.07502,0.326501,0.523835,747.1900024414062,,,,,,,341.4000000000001,5.41904761904762,312,4.9523809523809526,,,,,,,,,,,,,,,,,,,"Ryan Zeferjahn","25420",666171
"Caleb Thielbar","CHC",3,3,0,3.59307,66,0,1,15,,66,276,55,29,26,8,24,,3,68,9.25302,3.28653,2.81544,1.13383,0.245853,0.0873231,0.15853003412485123,0.220333,1.19628,0.269342,0.745396,,,3.94589,0.320596,0.557559,748.9400024414062,,,,,,,367.0000000000001,5.560606060606062,346,5.242424242424242,,,,,,,,,,,,,,,,,,,"Caleb Thielbar","10078",573204
"Seth Halvorsen","COL",3,3,0,4.28316,60,0,3,11,,60,265,58,31,29,7,28,,3,60,9.02771,4.24288,2.12773,1.01383,0.227112,0.106739,0.12037299573421478,0.248013,1.43752,0.307038,0.71708,,,4.1574,0.320564,0.464197,592.3900146484375,,,,,,,293.09999999999997,4.885,295,4.916666666666667,,,,,,,,,,,,,,,,,,,"Seth Halvorsen","33294",678020
"Greg Weissert","BOS",3,3,0,4.20086,65,0,1,17,,65,280,63,33,30,8,24,,3,60,8.34446,3.30181,2.52724,1.10249,0.215234,0.0851657,0.13006849586963654,0.249766,1.33976,0.29885,0.710419,,,4.11073,0.320186,0.248672,999,,,,,,,330.8,5.0892307692307694,333,5.123076923076923,,,,,,,,,,,,,,,,,,,"Greg Weissert","20375",669711
"David Festa","MIN",2,1,2,4.05725,31,3,0,1,,47,197,43,23,21,6,17,,2,47,8.98041,3.14601,2.85454,1.15945,0.239861,0.084028,0.1558333933353424,0.240529,1.25552,0.294381,0.709795,,,3.99459,0.318428,0.170438,632.1300048828125,,,,,,,203.2,4.323404255319149,198,4.212765957446808,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Brendon Little","TOR",3,3,0,3.35778,54,0,0,10,,54,233,45,22,20,4,27,,3,60,10.0433,4.54087,2.21177,0.698002,0.258627,0.116932,0.1416945680975914,0.220448,1.33344,0.292741,0.755962,,,3.57574,0.316975,0.363375,750.47998046875,,,,,,,303.40000000000003,5.61851851851852,288,5.333333333333333,,,,,,,,,,,,,,,,,,,"Brendon Little","21574",663893
"Luke Weaver","NYM",4,3,0,3.90532,67,0,4,14,,67,281,58,32,29,9,24,,3,68,9.19721,3.16331,2.90747,1.27045,0.243659,0.0838045,0.15985434502363205,0.228598,1.21977,0.275924,0.729674,,,4.1135,0.308417,0.335712,450.739990234375,,,,,,,365.2999999999999,5.452238805970148,349,5.208955223880597,,,,,,,,,,,,,,,,,,,"Luke Weaver","16918",596133
"Tanner Banks","PHI",3,3,0,3.84203,62,0,0,12,,62,261,56,29,26,8,19,,3,61,8.78315,2.76234,3.17961,1.20585,0.231824,0.0729097,0.15891452878713608,0.235223,1.21486,0.281437,0.72872,,,3.9745,0.307169,0.348931,999,,,,,,,318.79999999999995,5.141935483870967,310,5,,,,,,,,,,,,,,,,,,,"Tanner Banks","16990",621383
"Julian Fernández","WSN",3,3,0,3.91797,59,0,2,12,,59,247,53,28,26,7,20,,3,57,8.62636,3.10666,2.77673,1.13594,0.22895,0.0824531,0.1464965045452118,0.23633,1.2426,0.284303,0.719699,,,4.02638,0.302759,0.347495,747.2899780273438,,,,,,,315.7,5.350847457627118,307,5.203389830508475,,,,,,,,,,,,,,,,,,,"Julian Fernandez","18341",642759
