Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Vasil","CHW",2.84685,3.12739,0,4.03756,65.4871,0.0545463,1.75429,6.48512,2.06418,71.9254,311.945,68.0129,35.0728,32.267,8.35962,30.4109,2.16723,4.21808,59.1098,7.39639,3.80531,1.9437,1.04604,0.189488,0.0974881,0.09199994802474976,0.245254,1.36841,0.284271,0.73052,,,4.44681,-0.0716294,0.268303,744.8400268554688,2.97104,0.770381,0.611342,2.97104,-0.770381,4.18488,307.6000000000001,4.272222222222223,306,4.25,,,,,,,,,,,,,,,,,,,"Mike Vasil","30105",678024
"Dan Altavilla","MIN",1.12198,1.37657,0,4.63488,29.8855,0,0.0932371,1.34893,0,29.3802,129.542,28.2986,16.4461,15.1304,3.81581,13.6448,0.388232,2.10203,25.2793,7.74379,4.17979,1.85268,1.16889,0.195144,0.105331,0.089813232421875,0.248681,1.42761,0.289054,0.696624,,,4.7106,-0.0721538,-0.0961637,999,0.859805,0.266427,0.974866,0.859805,-0.266427,3.70018,98.60000000000004,3.4000000000000012,99,3.413793103448276,,,,,,,,,,,,,,,,,,,"Dan Altavilla","16507",656186
"Antonio Senzatela","COL",1.42403,3.37704,0.678601,5.45218,35.0501,3.81469,0,1.68918,0,56.6746,254.679,68.6841,37.3188,34.3333,8.91388,18.622,0.673531,2.44958,35.3844,5.61909,2.9572,1.90014,1.41554,0.138937,0.0731195,0.06581787019968033,0.294016,1.54048,0.315729,0.668041,,,5.04651,-0.0734568,-0.0197864,999,4.36912,-1.53528,0.584415,4.36912,1.53528,4.22078,146.70000000000002,2.573684210526316,183,3.210526315789474,,,,,,,,,,,,,,,,,,,"Antonio Senzatela","15488",622608
"Jairo Iriarte","CHW",0.39687,0.976897,0,4.41259,19.4244,0,0,0.986831,0,19.9631,88.4607,18.9774,10.6387,9.78765,2.55172,10.0723,0.396898,1.31849,17.7631,8.00818,4.54092,1.76356,1.1504,0.200802,0.113862,0.08694013208150864,0.246236,1.45517,0.289413,0.722641,,,4.72901,-0.0741596,-0.0558626,999,1.76698,0.682782,1.17779,1.76698,-0.682782,3.42961,68.69999999999999,3.4349999999999996,68,3.4,,,,,,,,,,,,,,,,,,,"Jairo Iriarte","26907",683568
"Zach Maxwell","CIN",1.65219,2.00233,0,4.52583,44.5337,0,0,3.08319,0,46.9793,205.14,44.0772,25.6788,23.6245,7.1409,22.7772,0.53854,1.5762,46.7393,8.95402,4.36351,2.05202,1.36801,0.227841,0.111032,0.11680850386619568,0.243807,1.42306,0.29105,0.724194,,,4.67652,-0.0767379,0.00450954,999,1.6196,0.426875,0.661876,1.6196,-0.426875,4.1175,178.30000000000004,3.7936170212765967,175,3.723404255319149,,,,,,,,,,,,,,,,,,,"Zach Maxwell","31610",687209
"Ryan Loutos","SEA",0.803952,0.59243,0,4.53616,16.9315,0,0,1.12404,0.361455,16.8495,72.9689,16.368,9.23094,8.49247,2.21633,6.71644,0.279679,0.852253,13.6953,7.31521,3.58751,2.03908,1.18383,0.187687,0.0920452,0.09564200788736343,0.250275,1.37004,0.285959,0.693314,,,4.56709,-0.0776328,-0.0888817,999,1.68514,-0.379254,1.22248,1.68514,0.379254,3.37003,67.60000000000002,3.9764705882352955,67,3.9411764705882355,,,,,,,,,,,,,,,,,,,"Ryan Loutos","29521",702795
"Joey Estes","ATH",1.31794,1.57609,0.392964,4.87149,22.7239,0.537387,0,0.704424,0,28.3202,120.929,29.0955,16.662,15.3291,5.33101,7.63363,0.638604,1.78811,22.1865,7.05075,2.42592,2.90642,1.69417,0.183467,0.0631248,0.12034226208925247,0.260929,1.29692,0.282945,0.685687,,,5.01349,-0.0783618,-0.187648,999,1.94065,0.047487,1.04511,1.94065,-0.047487,3.60652,88.30000000000001,3.153571428571429,93,3.3214285714285716,,,,,,,,,,,,,,,,,,,"Joey Estes","26257",683155
"Rolddy Muñoz","ATL",0.427747,0.640999,0,4.47462,17.0827,0,0,0.965816,0.213015,18.2501,81.4531,17.6859,9.86257,9.07357,2.12395,9.03181,0.351794,1.6277,16.6777,8.22456,4.45403,1.84655,1.04742,0.204752,0.110884,0.09386799484491348,0.249823,1.46398,0.299314,0.709864,,,4.57264,-0.0785936,-0.0449407,999,2.08427,0.149144,1.18886,2.08427,-0.149144,3.41486,66.80000000000003,3.7111111111111126,69,3.8333333333333335,,,,,,,,,,,,,,,,,,,"Rolddy Munoz","27407",691548
"Austin Love","STL",1.15074,1.48665,0,4.58378,23.0533,0,0,1.41245,0,23.9309,104.618,23.0404,13.2481,12.1882,3.26154,11.0071,0.615438,0.931844,20.4118,7.67654,4.13958,1.85442,1.22661,0.195108,0.105212,0.08989562094211578,0.248604,1.42274,0.286626,0.705512,,,4.69768,-0.0805396,-0.0467204,999,0.328981,-0.480416,1.06281,0.328981,0.480416,3.58292,88.90000000000002,3.7041666666666675,89,3.7083333333333335,,,,,,,,,,,,,,,,,,,"Austin Love","sa3017609",676153
"Ryan Rolison","CHC",0.544217,0.437558,0,4.65063,16.6533,0.0404803,0,0.966607,0,16.9386,73.7465,17.4283,9.51392,8.75281,2.35955,6.40279,0.279313,0.623962,12.4133,6.59555,3.40199,1.93873,1.2537,0.168324,0.0868216,0.08150222152471542,0.261217,1.40691,0.29008,0.697455,,,4.72486,-0.0813908,-0.11332,999,2.19657,-2.63199,1.22971,2.19657,2.63199,3.36039,64.00000000000001,3.764705882352942,66,3.8823529411764706,,,,,,,,,,,,,,,,,,,"Ryan Rolison","22200",669020
"Colin Poche",,1.2436,1.35836,0,4.74636,26.3768,0,0.0592424,1.67891,0.78922,26.4752,115.171,24.8266,15.1764,13.9623,3.86939,12.4206,0.516863,0.881152,24.1807,8.21998,4.22227,1.94681,1.31536,0.209954,0.107845,0.1021089106798172,0.24371,1.40687,0.283898,0.693394,,,4.71571,-0.0867712,-0.143591,999,1.84661,2.13725,0.995206,1.84661,-2.13725,3.67306,95.19999999999999,3.661538461538461,95,3.6538461538461537,,,,,,,,,,,,,,,,,,,"Colin Poche","19403",621363
"Bradley Blalock","MIA",0.194346,0.870849,0.249204,5.74274,11.0108,0.727245,0,0.610604,0,14.7468,67.1522,17.3382,10.2279,9.40964,2.49624,6.43093,0.330746,0.470007,9.92233,6.05564,3.92482,1.54291,1.52346,0.147759,0.0957664,0.051992326974868774,0.287766,1.61182,0.31029,0.667901,,,5.39388,-0.087268,-0.0373243,748,5.87276,-1.84518,1.16543,5.87276,1.84518,3.44609,48.2,3.2133333333333334,55,3.6666666666666665,,,,,,,,,,,,,,,,,,,"Bradley Blalock","26419",687134
"Carter Baumler","TEX",1.93137,2.37225,0,4.54944,44.2037,0,0,6.69659,0,46.9847,204.203,45.3338,25.8157,23.7505,6.4948,20.2977,1.20832,1.8462,40.6486,7.78631,3.88806,2.00262,1.24409,0.19906,0.0993996,0.09966006875038147,0.249006,1.39687,0.287876,0.704221,,,4.61576,-0.0877566,-0.220483,999,1.19001,1.25373,0.693432,1.19001,-1.25373,4.07542,201,4.276595744680851,201,4.276595744680851,,,,,,,,,,,,,,,,,,,"Carter Baumler","sa3014480",691945
