,TeamID,Team Name,ottoneu ID,FG MajorLeagueID,FG MinorLeagueID,Name,MLB Team,Position(s),Salary
259,236,Yoshi Teddy Bear,18113,12768.0,sa455516,Sonny Gray,BOS,SP,19
260,236,Yoshi Teddy Bear,23810,22201.0,sa3005068,MacKenzie Gore,TEX,SP,17
261,236,Yoshi Teddy Bear,8626,7304.0,sa392995,Salvador Perez,KCR,C/1B,17
262,236,Yoshi Teddy Bear,38389,27790.0,sa3014490,Evan Carter,TEX,OF,15
263,236,Yoshi Teddy Bear,36686,26378.0,sa917947,Nick Lodolo,CIN,SP,14
264,236,Yoshi Teddy Bear,33548,20391.0,sa962605,Luis García Jr.,WSN,2B,12
265,236,Yoshi Teddy Bear,38388,27467.0,sa3014489,Tyler Soderstrom,ATH,1B/OF,11
266,236,Yoshi Teddy Bear,35367,22543.0,sa3007839,Taj Bradley,MIN,SP,8
267,236,Yoshi Teddy Bear,32009,22100.0,sa916702,Jose Soriano,LAA,SP,8
268,236,Yoshi Teddy Bear,19268,15816.0,sa737560,Devin Williams,NYM,RP,8
269,236,Yoshi Teddy Bear,17763,11156.0,sa552177,Merrill Kelly,ARI,SP,7
270,236,Yoshi Teddy Bear,33907,24262.0,sa3005581,Ceddanne Rafaela,BOS,2B/OF,6
271,236,Yoshi Teddy Bear,22078,30115.0,sa869798,Robert Suarez,ATL,RP,5
272,236,Yoshi Teddy Bear,40615,29921.0,sa3017537,Spencer Arrighetti,HOU,SP,5
273,236,Yoshi Teddy Bear,4514,3137.0,sa326473,Max Scherzer,FA,SP,5
274,236,Yoshi Teddy Bear,43966,33322.0,sa3022615,Matt Shaw,CHC,3B,4
275,236,Yoshi Teddy Bear,27207,22581.0,sa3005337,Alejandro Kirk,TOR,C,4
276,236,Yoshi Teddy Bear,42416,31912.0,sa3020219,Chandler Simpson,TBR,OF,3
277,236,Yoshi Teddy Bear,40834,30085.0,sa3017886,Ben Casparius,LAD ST,RP,3
