,Name,OttoneuID,FG MajorLeagueID,FG MinorLeagueID,MLB Org,Position(s),Avg Salary,Median Salary,Min Salary,Max Salary,Last 10,Roster%
761,Jordan Montgomery,21017,16511.0,sa828875,TEX,RP,$1.00,$1.00,$1,$1,$1.80,4.167
762,Heston Kjerstad,38319,31166.0,sa3014439,BAL,OF,$1.00,$1.00,$1,$1,$2.30,12.5
763,Jimmy Herget,23830,17556.0,sa658965,COL,RP,$1.00,$1.00,$1,$1,$1.00,4.167
764,Sam Antonacci,45884,,sa3025363,CHW ST,2B/3B,$1.00,$1.00,$1,$1,$1.00,4.167
765,Blake Treinen,18414,12572.0,sa549672,LAD,RP,$1.00,$1.00,$1,$1,$1.60,4.167
766,Yennier Cano,37946,25911.0,sa3011688,BAL,RP,$1.00,$1.00,$1,$1,$1.70,4.167
767,Joey Ortiz,36743,25493.0,sa3009889,MIL,SS,$1.00,$1.00,$1,$1,$2.30,4.167
768,Justin Sterner,38613,27694.0,sa3014864,ATH,RP,$1.00,$1.00,$1,$1,$1.30,8.333
769,Drey Jameson,37919,26260.0,sa3011652,ARI,RP,$1.00,$1.00,$1,$1,$2.00,4.167
770,Blaze Alexander,35300,23789.0,sa3007742,BAL,2B/3B,$1.00,$1.00,$1,$1,$1.90,8.333
771,Tyler Bremner,47554,,sa3027644,LAA ST,RP,$1.00,$1.00,$1,$1,$1.20,4.167
772,Paul Goldschmidt,4374,9218.0,sa501577,NYY,1B,$1.00,$1.00,$1,$1,$5.90,4.167
773,Rico Garcia,33049,20023.0,sa918679,BAL,RP,$1.00,$1.00,$1,$1,$1.00,4.167
774,Santiago Espinal,32722,19997.0,sa918188,LAD,2B/3B/OF,$1.00,$1.00,$1,$1,$2.60,4.167
775,Everson Pereira,33662,23695.0,sa3007034,CHW,OF,$1.00,$1.00,$1,$1,$2.50,4.167
776,Foster Griffin,20917,16432.0,sa828674,WSN,RP,$1.00,$1.00,$1,$1,$1.00,8.333
777,Andrew Fischer,47657,,sa3031366,MIL ST,Util,$1.00,$1.00,$1,$1,$1.00,16.667
778,Stephen Kolek,35475,21487.0,sa3007990,KCR,SP,$1.00,$1.00,$1,$1,$2.40,4.167
779,Franklin Arias,43569,,sa3021845,BOS ST,SS,$1.00,$1.00,$1,$1,$1.20,29.167
780,Luke Raley,32655,19354.0,sa918048,SEA,1B/OF,$1.00,$1.00,$1,$1,$3.00,12.5
781,Eduardo Rodriguez,13335,13164.0,sa548722,ARI,SP,$1.00,$1.00,$1,$1,$1.60,8.333
782,Carter Baumler,38379,,sa3014480,TEX ST,RP,$1.00,$1.00,$1,$1,$1.00,4.167
